timestamp,41.9 or below,42.0 to 42.3,42.4 to 42.7,42.8 to 43.1,43.2 to 43.5,43.6 to 43.9,44.0 to 44.3,44.4 or above
2026-01-02T19:42:00Z,,,,34.00,,,,
2026-01-02T19:50:00Z,,,,34.00,,33.00,6.00,
2026-01-02T20:34:00Z,,,,34.00,,24.00,6.00,
2026-01-02T20:59:00Z,7.35,,,34.00,,24.00,6.00,
2026-01-02T21:21:00Z,14.00,,,34.00,,24.00,6.00,
2026-01-02T21:29:00Z,15.00,,,34.00,,24.00,6.00,
2026-01-02T21:55:00Z,16.00,,,34.00,,24.00,6.00,
2026-01-02T22:10:00Z,16.00,,,34.00,,24.00,6.87,5.00
2026-01-02T22:56:00Z,16.00,,,29.00,,24.00,6.87,5.00
2026-01-02T23:01:00Z,16.00,,,29.00,,28.00,6.87,5.00
2026-01-02T23:13:00Z,15.00,,,29.00,,28.00,6.87,5.00
2026-01-03T00:27:00Z,15.00,,8.00,29.00,,28.00,6.87,5.00
2026-01-03T00:54:00Z,15.00,,8.00,29.00,32.00,29.00,6.87,5.00
2026-01-03T00:55:00Z,15.00,,8.00,29.00,32.00,29.00,6.87,5.00
2026-01-03T01:11:00Z,15.00,,8.00,28.00,32.00,29.00,6.87,5.00
2026-01-03T01:58:00Z,14.00,,8.00,28.00,32.00,29.00,6.87,5.00
2026-01-03T01:59:00Z,14.00,,8.00,28.00,32.00,29.00,6.87,5.00
2026-01-03T02:04:00Z,14.00,,8.00,28.00,31.88,29.00,6.87,5.00
2026-01-03T02:06:00Z,3.00,,8.00,28.00,31.88,29.00,6.87,5.37
2026-01-03T02:18:00Z,14.01,,8.00,28.00,31.88,29.00,6.87,5.37
2026-01-03T02:27:00Z,14.01,,8.00,28.00,32.64,29.00,6.87,5.37
2026-01-03T02:32:00Z,14.01,,8.00,28.00,32.64,29.00,12.95,5.37
2026-01-03T02:35:00Z,18.93,,8.00,28.00,32.64,29.00,12.95,5.37
2026-01-03T02:40:00Z,19.84,27.73,1.00,15.47,23.01,14.94,9.73,12.89
2026-01-03T02:41:00Z,17.91,30.65,1.00,13.39,16.56,12.60,9.00,11.04
2026-01-03T02:48:00Z,29.98,29.57,1.00,11.76,14.73,10.61,10.34,9.53
2026-01-03T02:55:00Z,17.18,33.00,1.00,13.75,14.75,10.50,10.00,8.00
2026-01-03T02:59:00Z,9.00,33.00,1.00,13.75,14.75,10.50,17.00,9.95
2026-01-03T03:13:00Z,9.00,7.00,1.00,13.75,14.75,10.50,17.00,9.95
2026-01-03T03:22:00Z,9.00,7.00,1.00,24.60,14.75,10.50,17.00,9.95
2026-01-03T03:36:00Z,9.00,7.00,1.00,26.00,14.75,10.50,17.00,9.95
2026-01-03T03:58:00Z,9.00,7.00,1.00,25.92,14.75,10.50,17.00,9.95
2026-01-03T03:59:00Z,9.00,7.00,8.00,25.92,14.75,10.50,17.00,9.95
2026-01-03T04:05:00Z,9.00,7.00,8.00,28.00,14.75,10.50,17.00,9.95
2026-01-03T04:09:00Z,8.50,7.00,8.00,28.00,14.75,10.50,17.00,9.95
2026-01-03T04:10:00Z,8.50,7.00,8.00,27.94,14.75,10.50,17.00,9.95
2026-01-03T04:12:00Z,8.50,7.00,8.00,27.94,14.75,10.50,21.00,9.95
2026-01-03T04:16:00Z,8.50,7.00,8.00,27.94,14.75,10.50,21.00,9.95
2026-01-03T04:21:00Z,8.93,7.00,8.00,27.94,14.75,10.50,21.00,9.95
2026-01-03T04:28:00Z,5.00,7.00,8.00,27.94,14.75,10.50,21.00,9.95
2026-01-03T04:32:00Z,5.00,7.00,8.00,31.57,14.75,10.50,21.00,9.95
2026-01-03T04:36:00Z,5.00,7.00,8.00,32.00,14.75,10.50,21.00,9.95
2026-01-03T04:42:00Z,9.91,7.00,8.00,32.00,14.75,10.50,21.00,9.95
2026-01-03T04:46:00Z,9.91,7.00,8.00,32.00,27.00,10.50,21.00,9.95
2026-01-03T04:49:00Z,9.91,7.00,8.00,31.00,27.00,22.00,21.00,9.95
2026-01-03T05:09:00Z,9.91,7.00,8.00,31.00,31.00,22.00,21.00,9.95
2026-01-03T05:13:00Z,10.00,7.00,8.00,31.00,31.00,22.00,21.00,9.95
2026-01-03T05:18:00Z,10.00,7.00,8.00,31.00,31.00,22.00,21.00,9.00
2026-01-03T05:40:00Z,10.00,7.00,8.00,31.00,31.00,22.00,22.88,9.00
2026-01-03T05:47:00Z,10.00,7.00,7.00,31.00,31.00,21.45,22.88,9.00
