timestamp,Above $100000
2025-11-25T16:01:00Z,52.00
2025-11-25T16:09:00Z,49.00
2025-11-25T16:12:00Z,53.00
2025-11-25T16:20:00Z,48.00
2025-11-25T16:30:00Z,48.00
2025-11-25T16:32:00Z,48.00
2025-11-25T17:04:00Z,49.00
2025-11-25T17:33:00Z,51.00
2025-11-25T17:37:00Z,51.08
2025-11-25T17:38:00Z,52.00
2025-11-25T17:39:00Z,51.00
2025-11-25T17:41:00Z,51.99
2025-11-25T17:44:00Z,51.00
2025-11-25T17:49:00Z,50.47
2025-11-25T18:13:00Z,50.00
2025-11-25T18:15:00Z,53.00
2025-11-25T18:16:00Z,50.00
2025-11-25T18:25:00Z,53.00
2025-11-25T18:26:00Z,53.00
2025-11-25T18:28:00Z,53.00
2025-11-25T18:32:00Z,53.00
2025-11-25T18:34:00Z,53.00
2025-11-25T18:42:00Z,53.00
2025-11-25T18:54:00Z,53.00
2025-11-25T18:58:00Z,53.00
2025-11-25T19:08:00Z,48.00
2025-11-25T19:10:00Z,52.73
2025-11-25T19:21:00Z,52.00
2025-11-25T19:34:00Z,48.00
2025-11-25T19:36:00Z,52.00
2025-11-25T19:38:00Z,51.00
2025-11-25T19:41:00Z,46.00
2025-11-25T19:43:00Z,49.00
2025-11-25T19:44:00Z,45.00
2025-11-25T19:45:00Z,49.00
2025-11-25T19:46:00Z,49.00
2025-11-25T19:51:00Z,48.00
2025-11-25T19:59:00Z,48.00
2025-11-25T20:00:00Z,48.00
2025-11-25T20:01:00Z,47.00
2025-11-25T20:03:00Z,48.00
2025-11-25T20:04:00Z,47.00
2025-11-25T20:05:00Z,48.00
2025-11-25T20:08:00Z,46.99
2025-11-25T20:10:00Z,48.00
2025-11-25T20:15:00Z,46.99
2025-11-25T20:22:00Z,46.00
2025-11-25T20:26:00Z,46.00
2025-11-25T20:31:00Z,45.00
2025-11-25T20:32:00Z,45.00
2025-11-25T20:33:00Z,46.00
2025-11-25T20:42:00Z,46.00
2025-11-25T20:45:00Z,46.00
2025-11-25T20:50:00Z,45.00
2025-11-25T20:51:00Z,46.00
2025-11-25T21:05:00Z,45.00
2025-11-25T21:07:00Z,46.00
2025-11-25T21:09:00Z,45.00
2025-11-25T21:10:00Z,46.00
2025-11-25T21:13:00Z,46.00
2025-11-25T21:16:00Z,46.00
2025-11-25T21:18:00Z,45.00
2025-11-25T21:19:00Z,45.00
2025-11-25T21:20:00Z,44.20
2025-11-25T21:26:00Z,45.00
2025-11-25T21:27:00Z,44.00
2025-11-25T21:40:00Z,44.00
2025-11-25T21:41:00Z,44.00
2025-11-25T21:49:00Z,45.00
2025-11-25T21:50:00Z,44.00
2025-11-25T21:53:00Z,45.00
2025-11-25T21:54:00Z,44.00
2025-11-25T22:01:00Z,44.62
2025-11-25T22:02:00Z,44.39
2025-11-25T22:03:00Z,42.94
2025-11-25T22:04:00Z,43.00
2025-11-25T22:05:00Z,43.81
2025-11-25T22:06:00Z,41.27
2025-11-25T22:07:00Z,41.88
2025-11-25T22:08:00Z,44.00
2025-11-25T22:09:00Z,43.84
2025-11-25T22:10:00Z,43.74
2025-11-25T22:11:00Z,43.44
2025-11-25T22:12:00Z,43.88
2025-11-25T22:13:00Z,43.33
2025-11-25T22:14:00Z,43.00
2025-11-25T22:15:00Z,43.00
2025-11-25T22:16:00Z,43.00
2025-11-25T22:17:00Z,40.68
2025-11-25T22:18:00Z,43.03
2025-11-25T22:19:00Z,40.00
2025-11-25T22:20:00Z,41.47
2025-11-25T22:21:00Z,41.75
2025-11-25T22:22:00Z,40.00
2025-11-25T22:23:00Z,43.06
2025-11-25T22:24:00Z,41.85
2025-11-25T22:25:00Z,44.00
2025-11-25T22:26:00Z,44.00
2025-11-25T22:27:00Z,41.89
2025-11-25T22:28:00Z,44.00
2025-11-25T22:32:00Z,43.20
2025-11-25T22:34:00Z,43.86
2025-11-25T22:35:00Z,43.00
2025-11-25T22:36:00Z,44.00
2025-11-25T22:38:00Z,44.00
2025-11-25T22:39:00Z,42.46
2025-11-25T22:41:00Z,43.00
2025-11-25T22:42:00Z,43.58
2025-11-25T22:43:00Z,42.00
2025-11-25T22:44:00Z,42.93
2025-11-25T22:45:00Z,43.00
2025-11-25T22:46:00Z,43.00
2025-11-25T22:49:00Z,42.00
2025-11-25T22:51:00Z,43.00
2025-11-25T22:54:00Z,42.00
2025-11-25T22:55:00Z,42.00
2025-11-25T22:56:00Z,43.00
2025-11-25T22:57:00Z,43.00
2025-11-25T22:59:00Z,43.00
2025-11-25T23:00:00Z,44.00
2025-11-25T23:01:00Z,43.00
2025-11-25T23:02:00Z,44.00
2025-11-25T23:07:00Z,42.00
2025-11-25T23:08:00Z,43.72
2025-11-25T23:10:00Z,44.00
2025-11-25T23:12:00Z,44.00
2025-11-25T23:14:00Z,42.95
2025-11-25T23:15:00Z,44.00
2025-11-25T23:16:00Z,42.01
2025-11-25T23:18:00Z,42.00
2025-11-25T23:21:00Z,42.00
2025-11-25T23:22:00Z,43.45
2025-11-25T23:25:00Z,43.00
2025-11-25T23:26:00Z,44.00
2025-11-25T23:30:00Z,43.90
2025-11-25T23:31:00Z,44.23
2025-11-25T23:34:00Z,42.00
2025-11-25T23:38:00Z,44.00
2025-11-25T23:39:00Z,41.00
2025-11-25T23:41:00Z,44.00
2025-11-25T23:42:00Z,44.00
2025-11-25T23:44:00Z,44.32
2025-11-25T23:51:00Z,42.00
2025-11-25T23:52:00Z,42.00
2025-11-25T23:53:00Z,42.17
2025-11-25T23:54:00Z,41.81
2025-11-25T23:55:00Z,45.00
2025-11-25T23:56:00Z,41.00
2025-11-26T00:02:00Z,44.00
2025-11-26T00:04:00Z,41.00
2025-11-26T00:05:00Z,41.00
2025-11-26T00:06:00Z,44.00
2025-11-26T00:08:00Z,44.00
2025-11-26T00:13:00Z,44.00
2025-11-26T00:16:00Z,41.00
2025-11-26T00:17:00Z,44.00
2025-11-26T00:22:00Z,41.31
2025-11-26T00:35:00Z,41.00
2025-11-26T00:36:00Z,43.00
2025-11-26T00:47:00Z,43.12
2025-11-26T00:50:00Z,41.00
2025-11-26T00:59:00Z,44.00
2025-11-26T01:05:00Z,41.00
2025-11-26T01:06:00Z,41.00
2025-11-26T01:07:00Z,43.53
2025-11-26T01:08:00Z,41.00
2025-11-26T01:10:00Z,41.00
2025-11-26T01:16:00Z,43.25
2025-11-26T01:17:00Z,44.00
2025-11-26T01:19:00Z,44.00
2025-11-26T01:20:00Z,42.00
2025-11-26T01:29:00Z,41.00
2025-11-26T01:33:00Z,42.00
2025-11-26T01:41:00Z,42.00
2025-11-26T01:45:00Z,42.00
2025-11-26T01:46:00Z,42.23
2025-11-26T01:47:00Z,41.00
2025-11-26T01:48:00Z,41.00
2025-11-26T01:49:00Z,43.88
2025-11-26T01:52:00Z,41.24
2025-11-26T01:58:00Z,41.00
2025-11-26T02:02:00Z,41.00
2025-11-26T02:04:00Z,43.00
2025-11-26T02:07:00Z,43.00
2025-11-26T02:11:00Z,41.00
2025-11-26T02:12:00Z,42.46
2025-11-26T02:13:00Z,43.00
2025-11-26T02:15:00Z,41.00
2025-11-26T02:18:00Z,42.51
2025-11-26T02:21:00Z,42.00
