timestamp,70° or below,71° to 72°,73° to 74°,75° to 76°,77° to 78°,79° or above
2025-12-15T18:36:00Z,,,,22.00,,
2025-12-15T18:37:00Z,,,81.00,22.00,,
2025-12-15T18:38:00Z,,,81.00,22.00,,
2025-12-15T18:39:00Z,,,81.00,22.00,,
2025-12-15T18:40:00Z,,,81.00,22.00,,
2025-12-15T18:41:00Z,,,81.00,22.00,,
2025-12-15T18:42:00Z,,,81.00,22.00,,
2025-12-15T18:43:00Z,,,81.00,22.00,,
2025-12-15T18:44:00Z,,,81.00,22.00,,
2025-12-15T18:45:00Z,,,81.00,22.00,,
2025-12-15T18:46:00Z,,,81.00,22.00,,
2025-12-15T18:47:00Z,,,81.00,22.00,,
2025-12-15T18:48:00Z,,,81.00,22.00,,
2025-12-15T18:49:00Z,,,81.00,22.00,,
2025-12-15T18:50:00Z,,,81.00,22.00,,
2025-12-15T18:51:00Z,,,81.00,22.00,,
2025-12-15T18:52:00Z,,,81.00,22.00,,
2025-12-15T18:53:00Z,,,81.00,22.00,,
2025-12-15T18:54:00Z,,,81.00,22.00,,
2025-12-15T18:55:00Z,,,81.00,22.00,,
2025-12-15T18:56:00Z,,,81.00,22.00,,
2025-12-15T18:57:00Z,,,81.00,22.00,,
2025-12-15T18:58:00Z,,,81.00,22.00,,
2025-12-15T18:59:00Z,,,81.00,22.00,,
2025-12-15T19:00:00Z,,,81.00,22.00,,
2025-12-15T19:01:00Z,,,81.00,22.00,,
2025-12-15T19:02:00Z,,,81.00,22.00,,
2025-12-15T19:03:00Z,,,81.00,22.00,,
2025-12-15T19:04:00Z,,,81.00,22.00,,
2025-12-15T19:05:00Z,,,81.00,22.00,,
2025-12-15T19:06:00Z,,,81.00,22.00,,
2025-12-15T19:07:00Z,,,81.00,22.00,,
2025-12-15T19:08:00Z,,,81.00,22.00,,
2025-12-15T19:09:00Z,,,81.00,22.00,,
2025-12-15T19:10:00Z,,,81.00,22.00,,
2025-12-15T19:11:00Z,,,81.00,22.00,,
2025-12-15T19:12:00Z,,,81.00,22.00,,
2025-12-15T19:13:00Z,,,81.00,22.00,,
2025-12-15T19:14:00Z,,,81.00,22.00,,
2025-12-15T19:15:00Z,,,81.00,22.00,,
2025-12-15T19:16:00Z,,,81.00,22.00,,
2025-12-15T19:17:00Z,,,81.00,22.00,,
2025-12-15T19:18:00Z,,,81.00,22.00,,
2025-12-15T19:19:00Z,,,81.00,22.00,,
2025-12-15T19:20:00Z,,,81.00,22.00,,
2025-12-15T19:21:00Z,,,81.00,22.00,,
2025-12-15T19:22:00Z,,,81.00,22.00,,
2025-12-15T19:23:00Z,,,81.00,22.00,,
2025-12-15T19:24:00Z,,,81.00,22.00,,
2025-12-15T19:25:00Z,,,81.00,22.00,,
2025-12-15T19:26:00Z,,,81.00,22.00,,
2025-12-15T19:27:00Z,,,81.00,22.00,,
2025-12-15T19:28:00Z,,,81.00,22.00,,
