timestamp,event_type,magnitude,duration,price_before,price_after,price_change,pct_change,description
2026-01-20 00:23:00+00:00,BOOST,MODERATE,5 minutes,6.0,9.0,3.0,50.0,BOOST: +3.00¢ over 5 minutes
2026-01-20 00:24:00+00:00,BOOST,MODERATE,5 minutes,6.0,9.0,3.0,50.0,BOOST: +3.00¢ over 5 minutes
2026-01-25 23:48:00+00:00,DECREASE,MODERATE,5 minutes,7.0,4.0,-3.0,-42.85714285714286,DECREASE: -3.00¢ over 5 minutes
2026-01-26 02:56:00+00:00,DECREASE,MODERATE,5 minutes,10.0,7.0,-3.0,-30.000000000000004,DECREASE: -3.00¢ over 5 minutes
2026-01-26 02:55:00+00:00,BOOST,MODERATE,1 minute,7.59,10.0,2.41,31.752305665349144,BOOST: +2.41¢ in 1 minute
2026-01-25 23:58:00+00:00,BOOST,MODERATE,5 minutes,5.6,8.0,2.4000000000000004,42.85714285714286,BOOST: +2.40¢ over 5 minutes
2026-01-26 03:08:00+00:00,DECREASE,MODERATE,1 minute,12.0,9.61,-2.3900000000000006,-19.91666666666667,DECREASE: -2.39¢ in 1 minute
2026-01-25 23:48:00+00:00,DECREASE,MODERATE,1 minute,6.0,4.0,-2.0,-33.333333333333336,DECREASE: -2.00¢ in 1 minute
2026-01-26 02:44:00+00:00,BOOST,MODERATE,1 minute,9.0,11.0,2.0,22.222222222222232,BOOST: +2.00¢ in 1 minute
2026-01-26 03:18:00+00:00,BOOST,MODERATE,1 minute,9.0,11.0,2.0,22.222222222222232,BOOST: +2.00¢ in 1 minute
2026-01-26 12:50:00+00:00,BOOST,MODERATE,1 minute,8.0,10.0,2.0,25.0,BOOST: +2.00¢ in 1 minute
2026-01-19 18:11:00+00:00,BOOST,MODERATE,5 minutes,4.0,6.0,2.0,50.0,BOOST: +2.00¢ over 5 minutes
2026-01-25 23:52:00+00:00,BOOST,MODERATE,5 minutes,6.0,8.0,2.0,33.33333333333333,BOOST: +2.00¢ over 5 minutes
2026-01-25 23:53:00+00:00,BOOST,MODERATE,5 minutes,6.0,8.0,2.0,33.33333333333333,BOOST: +2.00¢ over 5 minutes
2026-01-19 18:26:00+00:00,BOOST,MODERATE,1 minute,7.0,8.94,1.9399999999999995,27.714285714285715,BOOST: +1.94¢ in 1 minute
2026-01-25 23:50:00+00:00,BOOST,MODERATE,1 minute,4.0,5.6,1.5999999999999996,39.99999999999999,BOOST: +1.60¢ in 1 minute
2026-01-25 23:51:00+00:00,BOOST,MODERATE,1 minute,5.6,7.0,1.4000000000000004,25.0,BOOST: +1.40¢ in 1 minute
2026-01-12 22:08:00+00:00,DECREASE,MODERATE,1 minute,4.0,3.0,-1.0,-25.0,DECREASE: -1.00¢ in 1 minute
2026-01-14 15:17:00+00:00,DECREASE,MODERATE,1 minute,3.0,2.0,-1.0,-33.333333333333336,DECREASE: -1.00¢ in 1 minute
2026-01-19 18:01:00+00:00,BOOST,MODERATE,1 minute,4.0,5.0,1.0,25.0,BOOST: +1.00¢ in 1 minute
2026-01-14 15:17:00+00:00,DECREASE,MODERATE,5 minutes,3.0,2.0,-1.0,-33.333333333333336,DECREASE: -1.00¢ over 5 minutes
2026-01-14 15:22:00+00:00,DECREASE,MODERATE,5 minutes,3.0,2.0,-1.0,-33.333333333333336,DECREASE: -1.00¢ over 5 minutes
2026-01-14 15:27:00+00:00,DECREASE,MODERATE,5 minutes,3.0,2.0,-1.0,-33.333333333333336,DECREASE: -1.00¢ over 5 minutes
2026-01-14 15:49:00+00:00,DECREASE,MODERATE,5 minutes,3.0,2.0,-1.0,-33.333333333333336,DECREASE: -1.00¢ over 5 minutes
2026-01-14 15:58:00+00:00,DECREASE,MODERATE,5 minutes,3.0,2.0,-1.0,-33.333333333333336,DECREASE: -1.00¢ over 5 minutes
