time,precipitation_inches,temperature_c,is_snow
2026-01-27 11:00:00,0.00063828466,11.602386,False
2026-01-27 12:00:00,0.0013328886,11.349457,False
2026-01-27 13:00:00,0.0011451577,11.141449,False
2026-01-27 14:00:00,0.0004317808,10.909027,False
2026-01-27 15:00:00,0.00018773078,10.660004,False
2026-01-27 16:00:00,0.00018773078,10.472504,False
2026-01-27 17:00:00,1.8773078e-05,10.455902,False
2026-01-27 18:00:00,0.0,10.495941,False
2026-01-27 19:00:00,0.0,10.509613,False
2026-01-27 20:00:00,0.0,10.577972,False
2026-01-27 21:00:00,0.0,10.72348,False
2026-01-27 22:00:00,0.0,10.866058,False
2026-01-27 23:00:00,0.0,11.031097,False
2026-01-28 00:00:00,0.0,11.225433,False
2026-01-28 01:00:00,3.7546157e-05,11.44516,False
2026-01-28 02:00:00,5.6319237e-05,11.680511,False
2026-01-28 03:00:00,0.000112638474,11.890472,False
2026-01-28 04:00:00,0.00018773078,12.072113,False
2026-01-28 05:00:00,0.00018773078,12.272308,False
2026-01-28 06:00:00,0.00013141155,12.470551,False
2026-01-28 07:00:00,0.00073215005,12.615082,False
2026-01-28 08:00:00,0.0010325193,12.676605,False
2026-01-28 09:00:00,0.0011451577,12.72348,False
2026-01-28 10:00:00,0.0014079809,12.794769,False
2026-01-28 11:00:00,0.0025343655,12.856293,False
2026-01-28 12:00:00,0.0034917926,12.919769,False
2026-01-28 13:00:00,0.003153877,12.968597,False
2026-01-28 14:00:00,0.0029661465,13.024261,False
2026-01-28 15:00:00,0.0019711733,13.039886,False
2026-01-28 16:00:00,0.0021401308,13.082855,False
2026-01-28 17:00:00,0.0011451577,12.951996,False
2026-01-28 18:00:00,0.0007696962,12.786957,False
2026-01-28 19:00:00,0.00065705774,12.584808,False
2026-01-28 20:00:00,0.00046932697,12.485199,False
2026-01-28 21:00:00,0.00039423464,12.530121,False
2026-01-28 22:00:00,0.0006007385,12.623871,False
2026-01-28 23:00:00,0.00093865395,12.699066,False
2026-01-29 00:00:00,0.0014079809,12.72348,False
2026-01-29 01:00:00,0.0017646693,12.722504,False
2026-01-29 02:00:00,0.0020838117,12.677582,False
2026-01-29 03:00:00,0.0022527694,12.670746,False
2026-01-29 04:00:00,0.0020462656,12.659027,False
2026-01-29 05:00:00,0.0013328886,12.637543,False
2026-01-29 06:00:00,0.0011451577,12.588715,False
2026-01-29 07:00:00,0.0014455271,12.512543,False
2026-01-29 08:00:00,0.0020462656,12.398285,False
2026-01-29 09:00:00,0.0026094578,12.295746,False
2026-01-29 10:00:00,0.0027784156,12.218597,False
2026-01-29 11:00:00,0.0030224656,12.180511,False
2026-01-29 12:00:00,0.0017646693,12.12973,False
2026-01-29 13:00:00,0.0012577963,12.113129,False
2026-01-29 14:00:00,0.0019524002,12.080902,False
2026-01-29 15:00:00,0.0040174387,12.054535,False
2026-01-29 16:00:00,0.004111304,12.081879,False
2026-01-29 17:00:00,0.0029849194,12.117035,False
2026-01-29 18:00:00,0.002590685,12.172699,False
2026-01-29 19:00:00,0.0024217272,12.214691,False
