timestamp,$110000 or above,$120000 or above,$125000 or above,$130000 or above,$135000 or above
2025-08-02T03:33:00Z,,,99.00,99.00,1.00
2025-08-02T03:35:00Z,,,99.00,99.00,1.00
2025-08-02T03:36:00Z,,,99.00,99.00,1.00
2025-08-02T03:37:00Z,,,99.00,99.00,1.00
2025-08-02T03:38:00Z,,,99.00,99.00,1.00
2025-08-02T03:39:00Z,,,99.00,99.00,1.00
2025-08-02T03:41:00Z,,,99.00,99.00,1.00
2025-08-02T03:42:00Z,,,99.00,99.00,1.00
2025-08-02T03:44:00Z,,,99.00,99.00,1.00
2025-08-02T03:46:00Z,,,99.00,99.00,1.00
2025-08-02T03:47:00Z,,,99.00,99.00,1.00
2025-08-02T03:49:00Z,,,99.00,99.00,1.00
2025-08-02T03:51:00Z,,,99.00,99.00,1.00
2025-08-02T03:52:00Z,,,99.00,99.00,1.00
2025-08-02T03:54:00Z,,,99.00,99.00,1.00
2025-08-02T03:56:00Z,,,99.00,99.00,1.00
2025-08-02T03:57:00Z,,,99.00,99.00,1.00
2025-08-02T03:58:00Z,,,99.00,99.00,1.00
2025-08-02T03:59:00Z,,,99.00,99.00,1.00
