timestamp,Above $100000
2025-12-01T00:31:00Z,52.78
2025-12-01T00:34:00Z,52.80
2025-12-01T00:35:00Z,52.66
2025-12-01T00:38:00Z,52.66
2025-12-01T00:41:00Z,52.00
2025-12-01T00:43:00Z,52.65
2025-12-01T00:45:00Z,53.00
2025-12-01T00:46:00Z,52.66
2025-12-01T00:48:00Z,52.65
2025-12-01T00:49:00Z,53.00
2025-12-01T00:51:00Z,52.00
2025-12-01T00:53:00Z,52.86
2025-12-01T00:56:00Z,52.66
2025-12-01T01:01:00Z,52.66
2025-12-01T01:06:00Z,52.66
2025-12-01T01:07:00Z,50.72
2025-12-01T01:08:00Z,51.42
2025-12-01T01:10:00Z,47.59
2025-12-01T01:14:00Z,48.00
2025-12-01T01:17:00Z,47.58
2025-12-01T01:20:00Z,48.00
2025-12-01T01:22:00Z,47.62
2025-12-01T01:23:00Z,48.00
2025-12-01T01:24:00Z,47.52
2025-12-01T01:25:00Z,48.00
2025-12-01T01:28:00Z,47.66
2025-12-01T01:30:00Z,47.55
2025-12-01T01:31:00Z,48.00
2025-12-01T01:32:00Z,47.66
2025-12-01T01:33:00Z,47.66
2025-12-01T01:36:00Z,47.35
2025-12-01T01:41:00Z,48.00
2025-12-01T01:44:00Z,47.66
2025-12-01T01:46:00Z,47.66
2025-12-01T01:48:00Z,47.27
2025-12-01T01:55:00Z,48.00
2025-12-01T01:56:00Z,47.67
2025-12-01T01:57:00Z,47.66
2025-12-01T01:58:00Z,46.46
2025-12-01T02:01:00Z,47.00
2025-12-01T02:03:00Z,46.66
2025-12-01T02:04:00Z,46.66
2025-12-01T02:06:00Z,46.66
2025-12-01T02:07:00Z,46.66
2025-12-01T02:08:00Z,46.66
2025-12-01T02:09:00Z,46.66
2025-12-01T02:12:00Z,46.66
2025-12-01T02:14:00Z,46.12
2025-12-01T02:15:00Z,47.00
2025-12-01T02:16:00Z,46.23
2025-12-01T02:18:00Z,46.70
2025-12-01T02:19:00Z,47.00
2025-12-01T02:20:00Z,46.66
2025-12-01T02:23:00Z,46.66
2025-12-01T02:24:00Z,46.00
2025-12-01T02:26:00Z,46.92
2025-12-01T02:28:00Z,46.40
2025-12-01T02:29:00Z,47.00
2025-12-01T02:30:00Z,46.62
2025-12-01T02:31:00Z,47.00
2025-12-01T02:32:00Z,46.66
2025-12-01T02:37:00Z,46.34
2025-12-01T02:38:00Z,47.00
2025-12-01T02:39:00Z,44.00
2025-12-01T02:40:00Z,44.33
2025-12-01T02:42:00Z,43.59
2025-12-01T02:44:00Z,44.21
2025-12-01T02:46:00Z,43.66
2025-12-01T02:48:00Z,43.66
2025-12-01T02:49:00Z,43.15
2025-12-01T02:50:00Z,44.00
2025-12-01T02:51:00Z,43.57
2025-12-01T02:52:00Z,43.00
2025-12-01T02:53:00Z,43.90
2025-12-01T02:55:00Z,43.00
2025-12-01T02:56:00Z,43.62
2025-12-01T02:57:00Z,44.00
2025-12-01T02:59:00Z,43.66
2025-12-01T03:01:00Z,43.62
