timestamp,open,high,low,close,volume,num_trades
2026-01-01 00:00:00,87699.89000000,87699.89000000,87699.89000000,87699.89000000,0.00029000,1
2026-01-01 00:01:00,87698.41000000,87698.41000000,87697.57000000,87697.57000000,0.00107000,2
2026-01-01 00:02:00,87697.57000000,87697.57000000,87697.57000000,87697.57000000,0.00000000,0
2026-01-01 00:03:00,87696.29000000,87696.29000000,87696.29000000,87696.29000000,0.00029000,1
2026-01-01 00:04:00,87696.27000000,87696.27000000,87696.27000000,87696.27000000,0.00017000,1
2026-01-01 00:05:00,87696.27000000,87813.84000000,87510.74000000,87813.34000000,0.22973000,17
2026-01-01 00:06:00,87811.87000000,87811.87000000,87811.87000000,87811.87000000,0.00028000,1
2026-01-01 00:07:00,87810.67000000,87810.67000000,87810.67000000,87810.67000000,0.00057000,1
2026-01-01 00:08:00,87808.73000000,87808.73000000,87808.73000000,87808.73000000,0.00878000,1
2026-01-01 00:09:00,87807.01000000,87807.01000000,87807.01000000,87807.01000000,0.00057000,1
2026-01-01 00:10:00,87803.92000000,87803.92000000,87803.92000000,87803.92000000,0.00039000,1
2026-01-01 00:11:00,87803.20000000,87803.20000000,87803.20000000,87803.20000000,0.00057000,1
2026-01-01 00:12:00,87801.10000000,87801.10000000,87801.10000000,87801.10000000,0.00057000,1
2026-01-01 00:13:00,87798.69000000,87798.69000000,87798.69000000,87798.69000000,0.00023000,1
2026-01-01 00:14:00,87797.61000000,87797.61000000,87797.27000000,87797.27000000,0.00134000,2
2026-01-01 00:15:00,87797.27000000,87797.27000000,87797.27000000,87797.27000000,0.00000000,0
2026-01-01 00:16:00,87797.27000000,87797.27000000,87797.27000000,87797.27000000,0.00000000,0
2026-01-01 00:17:00,87797.27000000,87797.27000000,87797.27000000,87797.27000000,0.00000000,0
2026-01-01 00:18:00,87797.27000000,87797.27000000,87797.27000000,87797.27000000,0.00000000,0
2026-01-01 00:19:00,87797.27000000,87797.27000000,87797.27000000,87797.27000000,0.00000000,0
2026-01-01 00:20:00,87797.27000000,87797.27000000,87797.27000000,87797.27000000,0.00000000,0
2026-01-01 00:21:00,87797.27000000,87797.27000000,87797.27000000,87797.27000000,0.00000000,0
2026-01-01 00:22:00,87797.27000000,87797.27000000,87797.27000000,87797.27000000,0.00000000,0
2026-01-01 00:23:00,87797.27000000,87797.27000000,87797.27000000,87797.27000000,0.00000000,0
